Amount Effective from January to March 2020/Montant en vigueur en janvier à mars 2020,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"11,136.00","11,183.99",764.38,"1,377.91"
"11,184.00","11,199.99",763.38,"1,376.91"
"11,200.00","11,231.99",762.38,"1,375.91"
"11,232.00","11,279.99",761.38,"1,374.91"
"11,280.00","11,295.99",760.38,"1,373.91"
"11,296.00","11,327.99",759.38,"1,372.91"
"11,328.00","11,375.99",758.38,"1,371.91"
"11,376.00","11,391.99",757.38,"1,370.91"
"11,392.00","11,423.99",756.38,"1,369.91"
"11,424.00","11,471.99",755.38,"1,368.91"
"11,472.00","11,487.99",754.38,"1,367.91"
"11,488.00","11,519.99",753.38,"1,366.91"
"11,520.00","11,567.99",752.38,"1,365.91"
"11,568.00","11,583.99",751.38,"1,364.91"
"11,584.00","11,615.99",750.38,"1,363.91"
"11,616.00","11,663.99",749.38,"1,362.91"
"11,664.00","11,679.99",748.38,"1,361.91"
"11,680.00","11,711.99",747.38,"1,360.91"
"11,712.00","11,759.99",746.38,"1,359.91"
"11,760.00","11,775.99",745.38,"1,358.91"
"11,776.00","11,807.99",744.38,"1,357.91"
"11,808.00","11,855.99",743.38,"1,356.91"
"11,856.00","11,871.99",742.38,"1,355.91"
"11,872.00","11,903.99",741.38,"1,354.91"
"11,904.00","11,951.99",740.38,"1,353.91"
"11,952.00","11,967.99",739.38,"1,352.91"
"11,968.00","11,999.99",738.38,"1,351.91"
"12,000.00","12,047.99",737.38,"1,350.91"
"12,048.00","12,063.99",736.38,"1,349.91"
"12,064.00","12,095.99",735.38,"1,348.91"
"12,096.00","12,143.99",734.38,"1,347.91"
"12,144.00","12,159.99",733.38,"1,346.91"
"12,160.00","12,191.99",732.38,"1,345.91"
"12,192.00","12,239.99",731.38,"1,344.91"
"12,240.00","12,255.99",730.38,"1,343.91"
"12,256.00","12,287.99",729.38,"1,342.91"
"12,288.00","12,335.99",728.38,"1,341.91"
"12,336.00","12,351.99",727.38,"1,340.91"
"12,352.00","12,383.99",726.38,"1,339.91"
"12,384.00","12,431.99",725.38,"1,338.91"
"12,432.00","12,447.99",724.38,"1,337.91"
"12,448.00","12,479.99",723.38,"1,336.91"
"12,480.00","12,527.99",722.38,"1,335.91"
"12,528.00","12,543.99",721.38,"1,334.91"
"12,544.00","12,575.99",720.38,"1,333.91"
"12,576.00","12,623.99",719.38,"1,332.91"
"12,624.00","12,639.99",718.38,"1,331.91"
"12,640.00","12,671.99",717.38,"1,330.91"
"12,672.00","12,719.99",716.38,"1,329.91"
"12,720.00","12,735.99",715.38,"1,328.91"
"12,736.00","12,767.99",714.38,"1,327.91"
"12,768.00","12,815.99",713.38,"1,326.91"
"12,816.00","12,831.99",712.38,"1,325.91"
"12,832.00","12,863.99",711.38,"1,324.91"
"12,864.00","12,911.99",710.38,"1,323.91"
"12,912.00","12,927.99",709.38,"1,322.91"
"12,928.00","12,959.99",708.38,"1,321.91"
"12,960.00","13,007.99",707.38,"1,320.91"
"13,008.00","13,023.99",706.38,"1,319.91"
"13,024.00","13,055.99",705.38,"1,318.91"
"13,056.00","13,103.99",704.38,"1,317.91"
"13,104.00","13,119.99",703.38,"1,316.91"
"13,120.00","13,151.99",702.38,"1,315.91"
"13,152.00","13,199.99",701.38,"1,314.91"
"13,200.00","13,215.99",700.38,"1,313.91"
"13,216.00","13,247.99",699.38,"1,312.91"
"13,248.00","13,295.99",698.38,"1,311.91"
"13,296.00","13,311.99",697.38,"1,310.91"
"13,312.00","13,343.99",696.38,"1,309.91"
"13,344.00","13,391.99",695.38,"1,308.91"
"13,392.00","13,407.99",694.38,"1,307.91"
"13,408.00","13,439.99",693.38,"1,306.91"
"13,440.00","13,487.99",692.38,"1,305.91"
"13,488.00","13,503.99",691.38,"1,304.91"
"13,504.00","13,535.99",690.38,"1,303.91"
"13,536.00","13,583.99",689.38,"1,302.91"
"13,584.00","13,599.99",688.38,"1,301.91"
"13,600.00","13,631.99",687.38,"1,300.91"
"13,632.00","13,679.99",686.38,"1,299.91"
"13,680.00","13,695.99",685.38,"1,298.91"
"13,696.00","13,727.99",684.38,"1,297.91"
"13,728.00","13,775.99",683.38,"1,296.91"
"13,776.00","13,791.99",682.38,"1,295.91"
"13,792.00","13,823.99",681.38,"1,294.91"
"13,824.00","13,871.99",680.38,"1,293.91"
"13,872.00","13,887.99",679.38,"1,292.91"
"13,888.00","13,919.99",678.38,"1,291.91"
"13,920.00","13,967.99",677.38,"1,290.91"
"13,968.00","13,983.99",676.38,"1,289.91"
"13,984.00","14,015.99",675.38,"1,288.91"
"14,016.00","14,063.99",674.38,"1,287.91"
"14,064.00","14,079.99",673.38,"1,286.91"
"14,080.00","14,111.99",672.38,"1,285.91"
"14,112.00","14,159.99",671.38,"1,284.91"
"14,160.00","14,175.99",670.38,"1,283.91"
"14,176.00","14,207.99",669.38,"1,282.91"
"14,208.00","14,255.99",668.38,"1,281.91"
"14,256.00","14,271.99",667.38,"1,280.91"
"14,272.00","14,303.99",666.38,"1,279.91"
"14,304.00","14,351.99",665.38,"1,278.91"
"14,352.00","14,367.99",664.38,"1,277.91"
"14,368.00","14,399.99",663.38,"1,276.91"
"14,400.00","14,447.99",662.38,"1,275.91"
"14,448.00","14,463.99",661.38,"1,274.91"
"14,464.00","14,495.99",660.38,"1,273.91"
"14,496.00","14,543.99",659.38,"1,272.91"
"14,544.00","14,559.99",658.38,"1,271.91"
"14,560.00","14,591.99",657.38,"1,270.91"
"14,592.00","14,639.99",656.38,"1,269.91"
"14,640.00","14,655.99",655.38,"1,268.91"
"14,656.00","14,687.99",654.38,"1,267.91"
"14,688.00","14,735.99",653.38,"1,266.91"
"14,736.00","14,751.99",652.38,"1,265.91"
"14,752.00","14,783.99",651.38,"1,264.91"
"14,784.00","14,831.99",650.38,"1,263.91"
"14,832.00","14,847.99",649.38,"1,262.91"
"14,848.00","14,879.99",648.38,"1,261.91"
"14,880.00","14,927.99",647.38,"1,260.91"
"14,928.00","14,943.99",646.38,"1,259.91"
"14,944.00","14,975.99",645.38,"1,258.91"
"14,976.00","15,023.99",644.38,"1,257.91"
"15,024.00","15,039.99",643.38,"1,256.91"
"15,040.00","15,071.99",642.38,"1,255.91"
"15,072.00","15,119.99",641.38,"1,254.91"
"15,120.00","15,135.99",640.38,"1,253.91"
"15,136.00","15,167.99",639.38,"1,252.91"
"15,168.00","15,215.99",638.38,"1,251.91"
"15,216.00","15,231.99",637.38,"1,250.91"
"15,232.00","15,263.99",636.38,"1,249.91"
"15,264.00","15,311.99",635.38,"1,248.91"
"15,312.00","15,327.99",634.38,"1,247.91"
"15,328.00","15,359.99",633.38,"1,246.91"
"15,360.00","15,407.99",632.38,"1,245.91"
"15,408.00","15,423.99",631.38,"1,244.91"
"15,424.00","15,455.99",630.38,"1,243.91"
"15,456.00","15,503.99",629.38,"1,242.91"
"15,504.00","15,519.99",628.38,"1,241.91"
"15,520.00","15,551.99",627.38,"1,240.91"
"15,552.00","15,599.99",626.38,"1,239.91"
"15,600.00","15,615.99",625.38,"1,238.91"
"15,616.00","15,647.99",624.38,"1,237.91"
"15,648.00","15,695.99",623.38,"1,236.91"
"15,696.00","15,711.99",622.38,"1,235.91"
"15,712.00","15,743.99",621.38,"1,234.91"
"15,744.00","15,791.99",620.38,"1,233.91"
"15,792.00","15,807.99",619.38,"1,232.91"
"15,808.00","15,839.99",618.38,"1,231.91"
"15,840.00","15,887.99",617.38,"1,230.91"
"15,888.00","15,903.99",616.38,"1,229.91"
"15,904.00","15,935.99",615.38,"1,228.91"
"15,936.00","15,983.99",614.38,"1,227.91"
"15,984.00","15,999.99",613.38,"1,226.91"
"16,000.00","16,031.99",612.38,"1,225.91"
"16,032.00","16,079.99",611.38,"1,224.91"
"16,080.00","16,095.99",610.38,"1,223.91"
