Amount Effective from January to March 2020/Montant en vigueur en janvier à mars 2020,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Monthly GIS with Maximum OAS Pension for each recipient ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) · ($),SRG mensuel pour montant maximal de la pension de la SV pour chaque b‚n‚ficiaire ($),Total mensuel de la pension de la SV et du SRG ($)
"21,792.00","21,839.99",57.41,670.94
"21,840.00","21,887.99",56.41,669.94
"21,888.00","21,935.99",55.41,668.94
"21,936.00","21,983.99",54.41,667.94
"21,984.00","22,031.99",53.41,666.94
"22,032.00","22,079.99",52.41,665.94
"22,080.00","22,127.99",51.41,664.94
"22,128.00","22,175.99",50.41,663.94
"22,176.00","22,223.99",49.41,662.94
"22,224.00","22,271.99",48.41,661.94
"22,272.00","22,319.99",47.41,660.94
"22,320.00","22,367.99",46.41,659.94
"22,368.00","22,415.99",45.41,658.94
"22,416.00","22,463.99",44.41,657.94
"22,464.00","22,511.99",43.41,656.94
"22,512.00","22,559.99",42.41,655.94
"22,560.00","22,607.99",41.41,654.94
"22,608.00","22,655.99",40.41,653.94
"22,656.00","22,703.99",39.41,652.94
"22,704.00","22,751.99",38.41,651.94
"22,752.00","22,799.99",37.41,650.94
"22,800.00","22,847.99",36.41,649.94
"22,848.00","22,895.99",35.41,648.94
"22,896.00","22,943.99",34.41,647.94
"22,944.00","22,991.99",33.41,646.94
"22,992.00","23,039.99",32.41,645.94
"23,040.00","23,087.99",31.41,644.94
"23,088.00","23,135.99",30.41,643.94
"23,136.00","23,183.99",29.41,642.94
"23,184.00","23,231.99",28.41,641.94
"23,232.00","23,279.99",27.41,640.94
"23,280.00","23,327.99",26.41,639.94
"23,328.00","23,375.99",25.41,638.94
"23,376.00","23,423.99",24.41,637.94
"23,424.00","23,471.99",23.41,636.94
"23,472.00","23,519.99",22.41,635.94
"23,520.00","23,567.99",21.41,634.94
"23,568.00","23,615.99",20.41,633.94
"23,616.00","23,663.99",19.41,632.94
"23,664.00","23,711.99",18.41,631.94
"23,712.00","23,759.99",17.41,630.94
"23,760.00","23,807.99",16.41,629.94
"23,808.00","23,855.99",15.41,628.94
"23,856.00","23,903.99",14.41,627.94
"23,904.00","23,951.99",13.41,626.94
"23,952.00","23,999.99",12.41,625.94
"24,000.00","24,047.99",11.41,624.94
"24,048.00","24,095.99",10.41,623.94
"24,096.00","24,143.99",9.41,622.94
"24,144.00","24,191.99",8.41,621.94
"24,192.00","24,239.99",7.41,620.94
"24,240.00","24,287.99",6.41,619.94
"24,288.00","24,335.99",5.41,618.94
"24,336.00","24,383.99",4.41,617.94
"24,384.00","24,431.99",3.41,616.94
"24,432.00","24,479.99",2.41,615.94
"24,480.00","24,527.99",1.41,614.94
"24,528.00","24,575.99",0.41,613.94
