Amount Effective from October to December 2021/Montant en vigueur en octobre à décembre 2021,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"14,656.00","14,687.99",691.82,"1,327.08"
"14,688.00","14,735.99",690.82,"1,326.08"
"14,736.00","14,751.99",689.82,"1,325.08"
"14,752.00","14,783.99",688.82,"1,324.08"
"14,784.00","14,831.99",687.82,"1,323.08"
"14,832.00","14,847.99",686.82,"1,322.08"
"14,848.00","14,879.99",685.82,"1,321.08"
"14,880.00","14,927.99",684.82,"1,320.08"
"14,928.00","14,943.99",683.82,"1,319.08"
"14,944.00","14,975.99",682.82,"1,318.08"
"14,976.00","15,023.99",681.82,"1,317.08"
"15,024.00","15,039.99",680.82,"1,316.08"
"15,040.00","15,071.99",679.82,"1,315.08"
"15,072.00","15,119.99",678.82,"1,314.08"
"15,120.00","15,135.99",677.82,"1,313.08"
"15,136.00","15,167.99",676.82,"1,312.08"
"15,168.00","15,215.99",675.82,"1,311.08"
"15,216.00","15,231.99",674.82,"1,310.08"
"15,232.00","15,263.99",673.82,"1,309.08"
"15,264.00","15,311.99",672.82,"1,308.08"
"15,312.00","15,327.99",671.82,"1,307.08"
"15,328.00","15,359.99",670.82,"1,306.08"
"15,360.00","15,407.99",669.82,"1,305.08"
"15,408.00","15,423.99",668.82,"1,304.08"
"15,424.00","15,455.99",667.82,"1,303.08"
"15,456.00","15,503.99",666.82,"1,302.08"
"15,504.00","15,519.99",665.82,"1,301.08"
"15,520.00","15,551.99",664.82,"1,300.08"
"15,552.00","15,599.99",663.82,"1,299.08"
"15,600.00","15,615.99",662.82,"1,298.08"
"15,616.00","15,647.99",661.82,"1,297.08"
"15,648.00","15,695.99",660.82,"1,296.08"
"15,696.00","15,711.99",659.82,"1,295.08"
"15,712.00","15,743.99",658.82,"1,294.08"
"15,744.00","15,791.99",657.82,"1,293.08"
"15,792.00","15,807.99",656.82,"1,292.08"
"15,808.00","15,839.99",655.82,"1,291.08"
"15,840.00","15,887.99",654.82,"1,290.08"
"15,888.00","15,903.99",653.82,"1,289.08"
"15,904.00","15,935.99",652.82,"1,288.08"
"15,936.00","15,983.99",651.82,"1,287.08"
"15,984.00","15,999.99",650.82,"1,286.08"
"16,000.00","16,031.99",649.82,"1,285.08"
"16,032.00","16,079.99",648.82,"1,284.08"
"16,080.00","16,095.99",647.82,"1,283.08"
"16,096.00","16,127.99",646.82,"1,282.08"
"16,128.00","16,175.99",645.82,"1,281.08"
"16,176.00","16,191.99",644.82,"1,280.08"
"16,192.00","16,223.99",643.82,"1,279.08"
"16,224.00","16,271.99",642.82,"1,278.08"
"16,272.00","16,287.99",641.82,"1,277.08"
"16,288.00","16,319.99",640.82,"1,276.08"
"16,320.00","16,367.99",639.82,"1,275.08"
"16,368.00","16,383.99",638.82,"1,274.08"
"16,384.00","16,415.99",637.82,"1,273.08"
"16,416.00","16,463.99",636.82,"1,272.08"
"16,464.00","16,479.99",635.82,"1,271.08"
