Amount Effective from July to September 2019/Montant en vigueur en juillet à septembre 2019,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"12,816.00","12,831.99",701.3,"1,308.76"
"12,832.00","12,863.99",700.3,"1,307.76"
"12,864.00","12,911.99",699.3,"1,306.76"
"12,912.00","12,927.99",698.3,"1,305.76"
"12,928.00","12,959.99",697.3,"1,304.76"
"12,960.00","13,007.99",696.3,"1,303.76"
"13,008.00","13,023.99",695.3,"1,302.76"
"13,024.00","13,055.99",694.3,"1,301.76"
"13,056.00","13,103.99",693.3,"1,300.76"
"13,104.00","13,119.99",692.3,"1,299.76"
"13,120.00","13,151.99",691.3,"1,298.76"
"13,152.00","13,199.99",690.3,"1,297.76"
"13,200.00","13,215.99",689.3,"1,296.76"
"13,216.00","13,247.99",688.3,"1,295.76"
"13,248.00","13,295.99",687.3,"1,294.76"
"13,296.00","13,311.99",686.3,"1,293.76"
"13,312.00","13,343.99",685.3,"1,292.76"
"13,344.00","13,391.99",684.3,"1,291.76"
"13,392.00","13,407.99",683.3,"1,290.76"
"13,408.00","13,439.99",682.3,"1,289.76"
"13,440.00","13,487.99",681.3,"1,288.76"
"13,488.00","13,503.99",680.3,"1,287.76"
"13,504.00","13,535.99",679.3,"1,286.76"
"13,536.00","13,583.99",678.3,"1,285.76"
"13,584.00","13,599.99",677.3,"1,284.76"
"13,600.00","13,631.99",676.3,"1,283.76"
"13,632.00","13,679.99",675.3,"1,282.76"
"13,680.00","13,695.99",674.3,"1,281.76"
"13,696.00","13,727.99",673.3,"1,280.76"
"13,728.00","13,775.99",672.3,"1,279.76"
"13,776.00","13,791.99",671.3,"1,278.76"
"13,792.00","13,823.99",670.3,"1,277.76"
"13,824.00","13,871.99",669.3,"1,276.76"
"13,872.00","13,887.99",668.3,"1,275.76"
"13,888.00","13,919.99",667.3,"1,274.76"
"13,920.00","13,967.99",666.3,"1,273.76"
"13,968.00","13,983.99",665.3,"1,272.76"
"13,984.00","14,015.99",664.3,"1,271.76"
"14,016.00","14,063.99",663.3,"1,270.76"
"14,064.00","14,079.99",662.3,"1,269.76"
"14,080.00","14,111.99",661.3,"1,268.76"
"14,112.00","14,159.99",660.3,"1,267.76"
"14,160.00","14,175.99",659.3,"1,266.76"
"14,176.00","14,207.99",658.3,"1,265.76"
"14,208.00","14,255.99",657.3,"1,264.76"
"14,256.00","14,271.99",656.3,"1,263.76"
"14,272.00","14,303.99",655.3,"1,262.76"
"14,304.00","14,351.99",654.3,"1,261.76"
"14,352.00","14,367.99",653.3,"1,260.76"
"14,368.00","14,399.99",652.3,"1,259.76"
"14,400.00","14,447.99",651.3,"1,258.76"
"14,448.00","14,463.99",650.3,"1,257.76"
"14,464.00","14,495.99",649.3,"1,256.76"
"14,496.00","14,543.99",648.3,"1,255.76"
"14,544.00","14,559.99",647.3,"1,254.76"
"14,560.00","14,591.99",646.3,"1,253.76"
"14,592.00","14,639.99",645.3,"1,252.76"
"14,640.00","14,655.99",644.3,"1,251.76"
"14,656.00","14,687.99",643.3,"1,250.76"
"14,688.00","14,735.99",642.3,"1,249.76"
"14,736.00","14,751.99",641.3,"1,248.76"
"14,752.00","14,783.99",640.3,"1,247.76"
"14,784.00","14,831.99",639.3,"1,246.76"
"14,832.00","14,847.99",638.3,"1,245.76"
"14,848.00","14,879.99",637.3,"1,244.76"
"14,880.00","14,927.99",636.3,"1,243.76"
"14,928.00","14,943.99",635.3,"1,242.76"
"14,944.00","14,975.99",634.3,"1,241.76"
"14,976.00","15,023.99",633.3,"1,240.76"
"15,024.00","15,039.99",632.3,"1,239.76"
"15,040.00","15,071.99",631.3,"1,238.76"
"15,072.00","15,119.99",630.3,"1,237.76"
"15,120.00","15,135.99",629.3,"1,236.76"
"15,136.00","15,167.99",628.3,"1,235.76"
"15,168.00","15,215.99",627.3,"1,234.76"
"15,216.00","15,231.99",626.3,"1,233.76"
"15,232.00","15,263.99",625.3,"1,232.76"
"15,264.00","15,311.99",624.3,"1,231.76"
"15,312.00","15,327.99",623.3,"1,230.76"
"15,328.00","15,359.99",622.3,"1,229.76"
"15,360.00","15,407.99",621.3,"1,228.76"
"15,408.00","15,423.99",620.3,"1,227.76"
"15,424.00","15,455.99",619.3,"1,226.76"
"15,456.00","15,503.99",618.3,"1,225.76"
"15,504.00","15,519.99",617.3,"1,224.76"
"15,520.00","15,551.99",616.3,"1,223.76"
"15,552.00","15,599.99",615.3,"1,222.76"
"15,600.00","15,615.99",614.3,"1,221.76"
"15,616.00","15,647.99",613.3,"1,220.76"
"15,648.00","15,695.99",612.3,"1,219.76"
"15,696.00","15,711.99",611.3,"1,218.76"
"15,712.00","15,743.99",610.3,"1,217.76"
"15,744.00","15,791.99",609.3,"1,216.76"
"15,792.00","15,807.99",608.3,"1,215.76"
"15,808.00","15,839.99",607.3,"1,214.76"
"15,840.00","15,887.99",606.3,"1,213.76"
"15,888.00","15,903.99",605.3,"1,212.76"
"15,904.00","15,935.99",604.3,"1,211.76"
"15,936.00","15,983.99",603.3,"1,210.76"
"15,984.00","15,999.99",602.3,"1,209.76"
"16,000.00","16,031.99",601.3,"1,208.76"
"16,032.00","16,079.99",600.3,"1,207.76"
"16,080.00","16,095.99",599.3,"1,206.76"
"16,096.00","16,127.99",598.3,"1,205.76"
"16,128.00","16,175.99",597.3,"1,204.76"
"16,176.00","16,191.99",596.3,"1,203.76"
"16,192.00","16,223.99",595.3,"1,202.76"
"16,224.00","16,271.99",594.3,"1,201.76"
"16,272.00","16,287.99",593.3,"1,200.76"
"16,288.00","16,319.99",592.3,"1,199.76"
"16,320.00","16,367.99",591.3,"1,198.76"
"16,368.00","16,383.99",590.3,"1,197.76"
"16,384.00","16,415.99",589.3,"1,196.76"
"16,416.00","16,463.99",588.3,"1,195.76"
"16,464.00","16,479.99",587.3,"1,194.76"
"16,480.00","16,511.99",586.3,"1,193.76"
"16,512.00","16,559.99",585.3,"1,192.76"
"16,560.00","16,575.99",584.3,"1,191.76"
"16,576.00","16,607.99",583.3,"1,190.76"
"16,608.00","16,655.99",582.3,"1,189.76"
"16,656.00","16,671.99",581.3,"1,188.76"
"16,672.00","16,703.99",580.3,"1,187.76"
"16,704.00","16,751.99",579.3,"1,186.76"
"16,752.00","16,767.99",578.3,"1,185.76"
"16,768.00","16,799.99",577.3,"1,184.76"
"16,800.00","16,847.99",576.3,"1,183.76"
"16,848.00","16,863.99",575.3,"1,182.76"
"16,864.00","16,895.99",574.3,"1,181.76"
"16,896.00","16,943.99",573.3,"1,180.76"
"16,944.00","16,959.99",572.3,"1,179.76"
"16,960.00","16,991.99",571.3,"1,178.76"
"16,992.00","17,039.99",570.3,"1,177.76"
"17,040.00","17,055.99",569.3,"1,176.76"
"17,056.00","17,087.99",568.3,"1,175.76"
"17,088.00","17,135.99",567.3,"1,174.76"
"17,136.00","17,151.99",566.3,"1,173.76"
"17,152.00","17,183.99",565.3,"1,172.76"
"17,184.00","17,231.99",564.3,"1,171.76"
"17,232.00","17,247.99",563.3,"1,170.76"
"17,248.00","17,279.99",562.3,"1,169.76"
"17,280.00","17,327.99",561.3,"1,168.76"
"17,328.00","17,343.99",560.3,"1,167.76"
"17,344.00","17,375.99",559.3,"1,166.76"
"17,376.00","17,423.99",558.3,"1,165.76"
"17,424.00","17,439.99",557.3,"1,164.76"
"17,440.00","17,471.99",556.3,"1,163.76"
"17,472.00","17,519.99",555.3,"1,162.76"
"17,520.00","17,535.99",554.3,"1,161.76"
"17,536.00","17,567.99",553.77,"1,161.23"
"17,568.00","17,615.99",552.77,"1,160.23"
"17,616.00","17,663.99",551.77,"1,159.23"
"17,664.00","17,711.99",550.77,"1,158.23"
"17,712.00","17,759.99",549.77,"1,157.23"
"17,760.00","17,807.99",548.77,"1,156.23"
"17,808.00","17,855.99",547.77,"1,155.23"
"17,856.00","17,903.99",546.77,"1,154.23"
"17,904.00","17,951.99",545.77,"1,153.23"
"17,952.00","17,999.99",544.77,"1,152.23"
"18,000.00","18,047.99",543.77,"1,151.23"
"18,048.00","18,095.99",542.77,"1,150.23"
"18,096.00","18,143.99",541.77,"1,149.23"
"18,144.00","18,191.99",540.77,"1,148.23"
"18,192.00","18,239.99",539.77,"1,147.23"
"18,240.00","18,287.99",538.77,"1,146.23"
"18,288.00","18,335.99",537.77,"1,145.23"
"18,336.00","18,383.99",536.77,"1,144.23"
"18,384.00","18,431.99",535.77,"1,143.23"
"18,432.00","18,479.99",534.77,"1,142.23"
"18,480.00","18,527.99",533.77,"1,141.23"
"18,528.00","18,575.99",532.77,"1,140.23"
"18,576.00","18,623.99",531.77,"1,139.23"
"18,624.00","18,671.99",530.77,"1,138.23"
"18,672.00","18,719.99",529.77,"1,137.23"
"18,720.00","18,767.99",528.77,"1,136.23"
"18,768.00","18,815.99",527.77,"1,135.23"
"18,816.00","18,863.99",526.77,"1,134.23"
"18,864.00","18,911.99",525.77,"1,133.23"
"18,912.00","18,959.99",524.77,"1,132.23"
"18,960.00","19,007.99",523.77,"1,131.23"
"19,008.00","19,055.99",522.77,"1,130.23"
"19,056.00","19,103.99",521.77,"1,129.23"
"19,104.00","19,151.99",520.77,"1,128.23"
"19,152.00","19,199.99",519.77,"1,127.23"
"19,200.00","19,247.99",518.77,"1,126.23"
"19,248.00","19,295.99",517.77,"1,125.23"
"19,296.00","19,343.99",516.77,"1,124.23"
"19,344.00","19,391.99",515.77,"1,123.23"
"19,392.00","19,439.99",514.77,"1,122.23"
"19,440.00","19,487.99",513.77,"1,121.23"
"19,488.00","19,535.99",512.77,"1,120.23"
"19,536.00","19,583.99",511.77,"1,119.23"
"19,584.00","19,631.99",510.77,"1,118.23"
"19,632.00","19,679.99",509.77,"1,117.23"
"19,680.00","19,727.99",508.77,"1,116.23"
"19,728.00","19,775.99",507.77,"1,115.23"
"19,776.00","19,823.99",506.77,"1,114.23"
"19,824.00","19,871.99",505.77,"1,113.23"
"19,872.00","19,919.99",504.77,"1,112.23"
"19,920.00","19,967.99",503.77,"1,111.23"
"19,968.00","20,015.99",502.77,"1,110.23"
"20,016.00","20,063.99",501.77,"1,109.23"
"20,064.00","20,111.99",500.77,"1,108.23"
"20,112.00","20,159.99",499.77,"1,107.23"
"20,160.00","20,207.99",498.77,"1,106.23"
"20,208.00","20,255.99",497.77,"1,105.23"
"20,256.00","20,303.99",496.77,"1,104.23"
"20,304.00","20,351.99",495.77,"1,103.23"
"20,352.00","20,399.99",494.77,"1,102.23"
"20,400.00","20,447.99",493.77,"1,101.23"
"20,448.00","20,495.99",492.77,"1,100.23"
"20,496.00","20,543.99",491.77,"1,099.23"
"20,544.00","20,591.99",490.77,"1,098.23"
"20,592.00","20,639.99",489.77,"1,097.23"
"20,640.00","20,687.99",488.77,"1,096.23"
"20,688.00","20,735.99",487.77,"1,095.23"
"20,736.00","20,783.99",486.77,"1,094.23"
"20,784.00","20,831.99",485.77,"1,093.23"
"20,832.00","20,879.99",484.77,"1,092.23"
"20,880.00","20,927.99",483.77,"1,091.23"
"20,928.00","20,975.99",482.77,"1,090.23"
"20,976.00","21,023.99",481.77,"1,089.23"
"21,024.00","21,071.99",480.77,"1,088.23"
"21,072.00","21,119.99",479.77,"1,087.23"
"21,120.00","21,167.99",478.77,"1,086.23"
"21,168.00","21,215.99",477.77,"1,085.23"
"21,216.00","21,263.99",476.77,"1,084.23"
"21,264.00","21,311.99",475.77,"1,083.23"
"21,312.00","21,359.99",474.77,"1,082.23"
"21,360.00","21,407.99",473.77,"1,081.23"
"21,408.00","21,455.99",472.77,"1,080.23"
"21,456.00","21,503.99",471.77,"1,079.23"
"21,504.00","21,551.99",470.77,"1,078.23"
"21,552.00","21,599.99",469.77,"1,077.23"
"21,600.00","21,647.99",468.77,"1,076.23"
"21,648.00","21,695.99",467.77,"1,075.23"
"21,696.00","21,743.99",466.77,"1,074.23"
"21,744.00","21,791.99",465.77,"1,073.23"
"21,792.00","21,839.99",464.77,"1,072.23"
"21,840.00","21,887.99",463.77,"1,071.23"
"21,888.00","21,935.99",462.77,"1,070.23"
"21,936.00","21,983.99",461.77,"1,069.23"
"21,984.00","22,031.99",460.77,"1,068.23"
"22,032.00","22,079.99",459.77,"1,067.23"
"22,080.00","22,127.99",458.77,"1,066.23"
"22,128.00","22,175.99",457.77,"1,065.23"
"22,176.00","22,223.99",456.77,"1,064.23"
"22,224.00","22,271.99",455.77,"1,063.23"
"22,272.00","22,319.99",454.77,"1,062.23"
"22,320.00","22,367.99",453.77,"1,061.23"
"22,368.00","22,415.99",452.77,"1,060.23"
"22,416.00","22,463.99",451.77,"1,059.23"
"22,464.00","22,511.99",450.77,"1,058.23"
"22,512.00","22,559.99",449.77,"1,057.23"
"22,560.00","22,607.99",448.77,"1,056.23"
"22,608.00","22,655.99",447.77,"1,055.23"
"22,656.00","22,703.99",446.77,"1,054.23"
"22,704.00","22,751.99",445.77,"1,053.23"
"22,752.00","22,799.99",444.77,"1,052.23"
"22,800.00","22,847.99",443.77,"1,051.23"
"22,848.00","22,895.99",442.77,"1,050.23"
"22,896.00","22,943.99",441.77,"1,049.23"
"22,944.00","22,991.99",440.77,"1,048.23"
"22,992.00","23,039.99",439.77,"1,047.23"
"23,040.00","23,087.99",438.77,"1,046.23"
"23,088.00","23,135.99",437.77,"1,045.23"
"23,136.00","23,183.99",436.77,"1,044.23"
"23,184.00","23,231.99",435.77,"1,043.23"
"23,232.00","23,279.99",434.77,"1,042.23"
"23,280.00","23,327.99",433.77,"1,041.23"
"23,328.00","23,375.99",432.77,"1,040.23"
"23,376.00","23,423.99",431.77,"1,039.23"
"23,424.00","23,471.99",430.77,"1,038.23"
"23,472.00","23,519.99",429.77,"1,037.23"
"23,520.00","23,567.99",428.77,"1,036.23"
"23,568.00","23,615.99",427.77,"1,035.23"
"23,616.00","23,663.99",426.77,"1,034.23"
"23,664.00","23,711.99",425.77,"1,033.23"
"23,712.00","23,759.99",424.77,"1,032.23"
"23,760.00","23,807.99",423.77,"1,031.23"
"23,808.00","23,855.99",422.77,"1,030.23"
"23,856.00","23,903.99",421.77,"1,029.23"
"23,904.00","23,951.99",420.77,"1,028.23"
"23,952.00","23,999.99",419.77,"1,027.23"
"24,000.00","24,047.99",418.77,1026.23
"24,048.00","24,095.99",417.77,1025.23
"24,096.00","24,143.99",416.77,1024.23
"24,144.00","24,191.99",415.77,1023.23
"24,192.00","24,239.99",414.77,1022.23
"24,240.00","24,287.99",413.77,1021.23
"24,288.00","24,335.99",412.77,1020.23
"24,336.00","24,383.99",411.77,1019.23
"24,384.00","24,431.99",410.77,1018.23
"24,432.00","24,479.99",409.77,1017.23
"24,480.00","24,527.99",408.77,1016.23
"24,528.00","24,575.99",407.77,1015.23
"24,576.00","24,623.99",406.77,1014.23
"24,624.00","24,671.99",405.77,1013.23
"24,672.00","24,719.99",404.77,1012.23
"24,720.00","24,767.99",403.77,1011.23
"24,768.00","24,815.99",402.77,1010.23
"24,816.00","24,863.99",401.77,1009.23
"24,864.00","24,911.99",400.77,1008.23
