Amount Effective from April to June 2022/Montant en vigueur en avril à juin 2022,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"8,240.00","8,255.99",495.86,"1,144.53"
"8,256.00","8,279.99",494.86,"1,143.53"
"8,280.00","8,287.99",493.86,"1,142.53"
"8,288.00","8,303.99",492.86,"1,141.53"
"8,304.00","8,327.99",491.86,"1,140.53"
"8,328.00","8,335.99",490.86,"1,139.53"
"8,336.00","8,351.99",489.86,"1,138.53"
"8,352.00","8,375.99",488.86,"1,137.53"
"8,376.00","8,383.99",487.86,"1,136.53"
"8,384.00","8,399.99",486.86,"1,135.53"
"8,400.00","8,423.99",485.86,"1,134.53"
"8,424.00","8,431.99",484.86,"1,133.53"
"8,432.00","8,447.99",483.86,"1,132.53"
"8,448.00","8,471.99",482.86,"1,131.53"
"8,472.00","8,479.99",481.86,"1,130.53"
"8,480.00","8,495.99",480.86,"1,129.53"
"8,496.00","8,519.99",479.86,"1,128.53"
"8,520.00","8,527.99",478.86,"1,127.53"
"8,528.00","8,543.99",477.86,"1,126.53"
"8,544.00","8,567.99",476.86,"1,125.53"
"8,568.00","8,575.99",475.86,"1,124.53"
"8,576.00","8,591.99",474.86,"1,123.53"
"8,592.00","8,615.99",473.86,"1,122.53"
"8,616.00","8,623.99",472.86,"1,121.53"
"8,624.00","8,639.99",471.86,"1,120.53"
"8,640.00","8,663.99",470.86,"1,119.53"
"8,664.00","8,671.99",469.86,"1,118.53"
"8,672.00","8,687.99",468.86,"1,117.53"
"8,688.00","8,711.99",467.86,"1,116.53"
"8,712.00","8,719.99",466.86,"1,115.53"
"8,720.00","8,735.99",465.86,"1,114.53"
"8,736.00","8,759.99",464.86,"1,113.53"
"8,760.00","8,767.99",463.86,"1,112.53"
"8,768.00","8,783.99",462.86,"1,111.53"
"8,784.00","8,807.99",461.86,"1,110.53"
"8,808.00","8,815.99",460.86,"1,109.53"
"8,816.00","8,831.99",459.86,"1,108.53"
"8,832.00","8,855.99",458.86,"1,107.53"
"8,856.00","8,863.99",457.86,"1,106.53"
"8,864.00","8,879.99",456.86,"1,105.53"
"8,880.00","8,903.99",455.86,"1,104.53"
"8,904.00","8,911.99",454.86,"1,103.53"
"8,912.00","8,927.99",453.86,"1,102.53"
"8,928.00","8,951.99",452.86,"1,101.53"
"8,952.00","8,959.99",451.86,"1,100.53"
"8,960.00","8,975.99",450.86,"1,099.53"
"8,976.00","8,999.99",449.86,"1,098.53"
"9,000.00","9,007.99",448.86,"1,097.53"
"9,008.00","9,023.99",447.86,"1,096.53"
"9,024.00","9,047.99",446.86,"1,095.53"
"9,048.00","9,055.99",445.86,"1,094.53"
"9,056.00","9,071.99",444.86,"1,093.53"
"9,072.00","9,095.99",443.86,"1,092.53"
"9,096.00","9,103.99",442.86,"1,091.53"
"9,104.00","9,119.99",441.86,"1,090.53"
"9,120.00","9,143.99",440.86,"1,089.53"
"9,144.00","9,151.99",439.86,"1,088.53"
"9,152.00","9,167.99",438.86,"1,087.53"
"9,168.00","9,191.99",437.86,"1,086.53"
"9,192.00","9,199.99",436.86,"1,085.53"
"9,200.00","9,215.99",435.86,"1,084.53"
"9,216.00","9,239.99",434.86,"1,083.53"
"9,240.00","9,247.99",433.86,"1,082.53"
"9,248.00","9,263.99",433.79,"1,082.46"
"9,264.00","9,287.99",432.79,"1,081.46"
"9,288.00","9,311.99",431.79,"1,080.46"
"9,312.00","9,335.99",430.79,"1,079.46"
"9,336.00","9,359.99",429.79,"1,078.46"
