Amount Effective from April to June 2022/Montant en vigueur en avril à juin 2022,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Monthly GIS with Maximum OAS Pension for each recipient ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) · ($),SRG mensuel pour montant maximal de la pension de la SV pour chaque b‚n‚ficiaire ($),Total mensuel de la pension de la SV et du SRG ($)
"6,528.00","6,575.99",421.20,"1,069.87"
"6,576.00","6,591.99",420.20,"1,068.87"
"6,592.00","6,623.99",419.20,"1,067.87"
"6,624.00","6,671.99",418.20,"1,066.87"
"6,672.00","6,687.99",417.20,"1,065.87"
"6,688.00","6,719.99",416.20,"1,064.87"
"6,720.00","6,767.99",415.20,"1,063.87"
"6,768.00","6,783.99",414.20,"1,062.87"
"6,784.00","6,815.99",413.20,"1,061.87"
"6,816.00","6,863.99",412.20,"1,060.87"
"6,864.00","6,879.99",411.20,"1,059.87"
"6,880.00","6,911.99",410.20,"1,058.87"
"6,912.00","6,959.99",409.20,"1,057.87"
"6,960.00","6,975.99",408.20,"1,056.87"
"6,976.00","7,007.99",407.20,"1,055.87"
"7,008.00","7,055.99",406.20,"1,054.87"
"7,056.00","7,071.99",405.20,"1,053.87"
"7,072.00","7,103.99",404.20,"1,052.87"
"7,104.00","7,151.99",403.20,"1,051.87"
"7,152.00","7,167.99",402.20,"1,050.87"
"7,168.00","7,199.99",401.20,"1,049.87"
"7,200.00","7,247.99",400.20,"1,048.87"
"7,248.00","7,263.99",399.20,"1,047.87"
"7,264.00","7,295.99",398.20,"1,046.87"
"7,296.00","7,343.99",397.20,"1,045.87"
"7,344.00","7,359.99",396.20,"1,044.87"
"7,360.00","7,391.99",395.20,"1,043.87"
"7,392.00","7,439.99",394.20,"1,042.87"
"7,440.00","7,455.99",393.20,"1,041.87"
"7,456.00","7,487.99",392.20,"1,040.87"
"7,488.00","7,535.99",391.20,"1,039.87"
"7,536.00","7,551.99",390.20,"1,038.87"
"7,552.00","7,583.99",389.20,"1,037.87"
"7,584.00","7,631.99",388.20,"1,036.87"
"7,632.00","7,647.99",387.20,"1,035.87"
"7,648.00","7,679.99",386.20,"1,034.87"
"7,680.00","7,727.99",385.20,"1,033.87"
"7,728.00","7,743.99",384.20,"1,032.87"
"7,744.00","7,775.99",383.20,"1,031.87"
"7,776.00","7,823.99",382.20,"1,030.87"
"7,824.00","7,839.99",381.20,"1,029.87"
"7,840.00","7,871.99",380.20,"1,028.87"
"7,872.00","7,919.99",379.20,"1,027.87"
"7,920.00","7,935.99",378.20,"1,026.87"
"7,936.00","7,967.99",377.20,"1,025.87"
"7,968.00","8,015.99",376.20,"1,024.87"
"8,016.00","8,031.99",375.20,"1,023.87"
"8,032.00","8,063.99",374.20,"1,022.87"
"8,064.00","8,111.99",373.20,"1,021.87"
"8,112.00","8,127.99",372.20,"1,020.87"
"8,128.00","8,159.99",371.68,"1,020.35"
"8,160.00","8,207.99",370.68,"1,019.35"
"8,208.00","8,255.99",369.68,"1,018.35"
"8,256.00","8,303.99",368.68,"1,017.35"
"8,304.00","8,351.99",367.68,"1,016.35"
"8,352.00","8,399.99",366.68,"1,015.35"
"8,400.00","8,447.99",365.68,"1,014.35"
"8,448.00","8,495.99",364.68,"1,013.35"
"8,496.00","8,543.99",363.68,"1,012.35"
"8,544.00","8,591.99",362.68,"1,011.35"
"8,592.00","8,639.99",361.68,"1,010.35"
"8,640.00","8,687.99",360.68,"1,009.35"
"8,688.00","8,735.99",359.68,"1,008.35"
"8,736.00","8,783.99",358.68,"1,007.35"
"8,784.00","8,831.99",357.68,"1,006.35"
"8,832.00","8,879.99",356.68,"1,005.35"
"8,880.00","8,927.99",355.68,"1,004.35"
"8,928.00","8,975.99",354.68,"1,003.35"
"8,976.00","9,023.99",353.68,"1,002.35"
"9,024.00","9,071.99",352.68,"1,001.35"
"9,072.00","9,119.99",351.68,"1,000.35"
"9,120.00","9,167.99",350.68,999.35
"9,168.00","9,215.99",349.68,998.35
"9,216.00","9,263.99",348.68,997.35
"9,264.00","9,311.99",347.68,996.35
"9,312.00","9,359.99",346.68,995.35
"9,360.00","9,407.99",345.68,994.35
"9,408.00","9,455.99",344.68,993.35
"9,456.00","9,503.99",343.68,992.35
"9,504.00","9,551.99",342.68,991.35
"9,552.00","9,599.99",341.68,990.35
"9,600.00","9,647.99",340.68,989.35
"9,648.00","9,695.99",339.68,988.35
"9,696.00","9,743.99",338.68,987.35
"9,744.00","9,791.99",337.68,986.35
"9,792.00","9,839.99",336.68,985.35
"9,840.00","9,887.99",335.68,984.35
"9,888.00","9,935.99",334.68,983.35
"9,936.00","9,983.99",333.68,982.35
"9,984.00","10,031.99",332.68,981.35
"10,032.00","10,079.99",331.68,980.35
"10,080.00","10,127.99",330.68,979.35
"10,128.00","10,175.99",329.68,978.35
"10,176.00","10,223.99",328.68,977.35
"10,224.00","10,271.99",327.68,976.35
"10,272.00","10,319.99",326.68,975.35
"10,320.00","10,367.99",325.68,974.35
"10,368.00","10,415.99",324.68,973.35
"10,416.00","10,463.99",323.68,972.35
"10,464.00","10,511.99",322.68,971.35
"10,512.00","10,559.99",321.68,970.35
"10,560.00","10,607.99",320.68,969.35
"10,608.00","10,655.99",319.68,968.35
"10,656.00","10,703.99",318.68,967.35
"10,704.00","10,751.99",317.68,966.35
"10,752.00","10,799.99",316.68,965.35
"10,800.00","10,847.99",315.68,964.35
"10,848.00","10,895.99",314.68,963.35
"10,896.00","10,943.99",313.68,962.35
"10,944.00","10,991.99",312.68,961.35
"10,992.00","11,039.99",311.68,960.35
"11,040.00","11,087.99",310.68,959.35
"11,088.00","11,135.99",309.68,958.35
"11,136.00","11,183.99",308.68,957.35
"11,184.00","11,231.99",307.68,956.35
"11,232.00","11,279.99",306.68,955.35
"11,280.00","11,327.99",305.68,954.35
"11,328.00","11,375.99",304.68,953.35
"11,376.00","11,423.99",303.68,952.35
"11,424.00","11,471.99",302.68,951.35
"11,472.00","11,519.99",301.68,950.35
"11,520.00","11,567.99",300.68,949.35
"11,568.00","11,615.99",299.68,948.35
"11,616.00","11,663.99",298.68,947.35
"11,664.00","11,711.99",297.68,946.35
"11,712.00","11,759.99",296.68,945.35
"11,760.00","11,807.99",295.68,944.35
"11,808.00","11,855.99",294.68,943.35
"11,856.00","11,903.99",293.68,942.35
"11,904.00","11,951.99",292.68,941.35
"11,952.00","11,999.99",291.68,940.35
"12,000.00","12,047.99",290.68,939.35
"12,048.00","12,095.99",289.68,938.35
"12,096.00","12,143.99",288.68,937.35
"12,144.00","12,191.99",287.68,936.35
"12,192.00","12,239.99",286.68,935.35
"12,240.00","12,287.99",285.68,934.35
"12,288.00","12,335.99",284.68,933.35
"12,336.00","12,383.99",283.68,932.35
"12,384.00","12,431.99",282.68,931.35
"12,432.00","12,479.99",281.68,930.35
"12,480.00","12,527.99",280.68,929.35
"12,528.00","12,575.99",279.68,928.35
"12,576.00","12,623.99",278.68,927.35
"12,624.00","12,671.99",277.68,926.35
"12,672.00","12,719.99",276.68,925.35
"12,720.00","12,767.99",275.68,924.35
"12,768.00","12,815.99",274.68,923.35
"12,816.00","12,863.99",273.68,922.35
"12,864.00","12,911.99",272.68,921.35
"12,912.00","12,959.99",271.68,920.35
"12,960.00","13,007.99",270.68,919.35
"13,008.00","13,055.99",269.68,918.35
"13,056.00","13,103.99",268.68,917.35
"13,104.00","13,151.99",267.68,916.35
"13,152.00","13,199.99",266.68,915.35
"13,200.00","13,247.99",265.68,914.35
"13,248.00","13,295.99",264.68,913.35
"13,296.00","13,343.99",263.68,912.35
"13,344.00","13,391.99",262.68,911.35
"13,392.00","13,439.99",261.68,910.35
"13,440.00","13,487.99",260.68,909.35
"13,488.00","13,535.99",259.68,908.35
"13,536.00","13,583.99",258.68,907.35
"13,584.00","13,631.99",257.68,906.35
"13,632.00","13,679.99",256.68,905.35
"13,680.00","13,727.99",255.68,904.35
"13,728.00","13,775.99",254.68,903.35
"13,776.00","13,823.99",253.68,902.35
"13,824.00","13,871.99",252.68,901.35
"13,872.00","13,919.99",251.68,900.35
"13,920.00","13,967.99",250.68,899.35
"13,968.00","14,015.99",249.68,898.35
"14,016.00","14,063.99",248.68,897.35
"14,064.00","14,111.99",247.68,896.35
"14,112.00","14,159.99",246.68,895.35
"14,160.00","14,207.99",245.68,894.35
"14,208.00","14,255.99",244.68,893.35
"14,256.00","14,303.99",243.68,892.35
"14,304.00","14,351.99",242.68,891.35
"14,352.00","14,399.99",241.68,890.35
"14,400.00","14,447.99",240.68,889.35
"14,448.00","14,495.99",239.68,888.35
"14,496.00","14,543.99",238.68,887.35
"14,544.00","14,591.99",237.68,886.35
"14,592.00","14,639.99",236.68,885.35
"14,640.00","14,687.99",235.68,884.35
"14,688.00","14,735.99",234.68,883.35
"14,736.00","14,783.99",233.68,882.35
"14,784.00","14,831.99",232.68,881.35
"14,832.00","14,879.99",231.68,880.35
