Amount Effective from April to June 2022/Montant en vigueur en avril à juin 2022,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"14,880.00","14,927.99",708.86,"1,357.53"
"14,928.00","14,943.99",707.86,"1,356.53"
"14,944.00","14,975.99",706.86,"1,355.53"
"14,976.00","15,023.99",705.86,"1,354.53"
"15,024.00","15,039.99",704.86,"1,353.53"
"15,040.00","15,071.99",703.86,"1,352.53"
"15,072.00","15,119.99",702.86,"1,351.53"
"15,120.00","15,135.99",701.86,"1,350.53"
"15,136.00","15,167.99",700.86,"1,349.53"
"15,168.00","15,215.99",699.86,"1,348.53"
"15,216.00","15,231.99",698.86,"1,347.53"
"15,232.00","15,263.99",697.86,"1,346.53"
"15,264.00","15,311.99",696.86,"1,345.53"
"15,312.00","15,327.99",695.86,"1,344.53"
"15,328.00","15,359.99",694.86,"1,343.53"
"15,360.00","15,407.99",693.86,"1,342.53"
"15,408.00","15,423.99",692.86,"1,341.53"
"15,424.00","15,455.99",691.86,"1,340.53"
"15,456.00","15,503.99",690.86,"1,339.53"
"15,504.00","15,519.99",689.86,"1,338.53"
"15,520.00","15,551.99",688.86,"1,337.53"
"15,552.00","15,599.99",687.86,"1,336.53"
"15,600.00","15,615.99",686.86,"1,335.53"
"15,616.00","15,647.99",685.86,"1,334.53"
"15,648.00","15,695.99",684.86,"1,333.53"
"15,696.00","15,711.99",683.86,"1,332.53"
"15,712.00","15,743.99",682.86,"1,331.53"
"15,744.00","15,791.99",681.86,"1,330.53"
"15,792.00","15,807.99",680.86,"1,329.53"
"15,808.00","15,839.99",679.86,"1,328.53"
"15,840.00","15,887.99",678.86,"1,327.53"
"15,888.00","15,903.99",677.86,"1,326.53"
"15,904.00","15,935.99",676.86,"1,325.53"
"15,936.00","15,983.99",675.86,"1,324.53"
"15,984.00","15,999.99",674.86,"1,323.53"
"16,000.00","16,031.99",673.86,"1,322.53"
"16,032.00","16,079.99",672.86,"1,321.53"
"16,080.00","16,095.99",671.86,"1,320.53"
"16,096.00","16,127.99",670.86,"1,319.53"
"16,128.00","16,175.99",669.86,"1,318.53"
"16,176.00","16,191.99",668.86,"1,317.53"
"16,192.00","16,223.99",667.86,"1,316.53"
"16,224.00","16,271.99",666.86,"1,315.53"
"16,272.00","16,287.99",665.86,"1,314.53"
"16,288.00","16,319.99",664.86,"1,313.53"
"16,320.00","16,367.99",663.86,"1,312.53"
"16,368.00","16,383.99",662.86,"1,311.53"
"16,384.00","16,415.99",661.86,"1,310.53"
"16,416.00","16,463.99",660.86,"1,309.53"
"16,464.00","16,479.99",659.86,"1,308.53"
"16,480.00","16,511.99",658.86,"1,307.53"
"16,512.00","16,559.99",657.86,"1,306.53"
"16,560.00","16,575.99",656.86,"1,305.53"
"16,576.00","16,607.99",655.86,"1,304.53"
"16,608.00","16,655.99",654.86,"1,303.53"
"16,656.00","16,671.99",653.86,"1,302.53"
"16,672.00","16,703.99",652.86,"1,301.53"
"16,704.00","16,751.99",651.86,"1,300.53"
"16,752.00","16,767.99",650.86,"1,299.53"
"16,768.00","16,799.99",649.86,"1,298.53"
"16,800.00","16,847.99",648.86,"1,297.53"
"16,848.00","16,863.99",647.86,"1,296.53"
"16,864.00","16,895.99",646.86,"1,295.53"
"16,896.00","16,943.99",645.86,"1,294.53"
"16,944.00","16,959.99",644.86,"1,293.53"
"16,960.00","16,991.99",643.86,"1,292.53"
"16,992.00","17,039.99",642.86,"1,291.53"
"17,040.00","17,055.99",641.86,"1,290.53"
"17,056.00","17,087.99",640.86,"1,289.53"
"17,088.00","17,135.99",639.86,"1,288.53"
"17,136.00","17,151.99",638.86,"1,287.53"
"17,152.00","17,183.99",637.86,"1,286.53"
"17,184.00","17,231.99",636.86,"1,285.53"
"17,232.00","17,247.99",635.86,"1,284.53"
"17,248.00","17,279.99",634.86,"1,283.53"
"17,280.00","17,327.99",633.86,"1,282.53"
"17,328.00","17,343.99",632.86,"1,281.53"
"17,344.00","17,375.99",631.86,"1,280.53"
"17,376.00","17,423.99",630.86,"1,279.53"
"17,424.00","17,439.99",629.86,"1,278.53"
"17,440.00","17,471.99",628.86,"1,277.53"
"17,472.00","17,519.99",627.86,"1,276.53"
"17,520.00","17,535.99",626.86,"1,275.53"
"17,536.00","17,567.99",625.86,"1,274.53"
"17,568.00","17,615.99",624.86,"1,273.53"
"17,616.00","17,631.99",623.86,"1,272.53"
"17,632.00","17,663.99",622.86,"1,271.53"
"17,664.00","17,711.99",621.86,"1,270.53"
"17,712.00","17,727.99",620.86,"1,269.53"
"17,728.00","17,759.99",619.86,"1,268.53"
"17,760.00","17,807.99",618.86,"1,267.53"
"17,808.00","17,823.99",617.86,"1,266.53"
"17,824.00","17,855.99",616.86,"1,265.53"
"17,856.00","17,903.99",615.86,"1,264.53"
"17,904.00","17,919.99",614.86,"1,263.53"
"17,920.00","17,951.99",613.86,"1,262.53"
"17,952.00","17,999.99",612.86,"1,261.53"
"18,000.00","18,015.99",611.86,"1,260.53"
"18,016.00","18,047.99",610.86,"1,259.53"
"18,048.00","18,095.99",609.86,"1,258.53"
"18,096.00","18,111.99",608.86,"1,257.53"
"18,112.00","18,143.99",607.86,"1,256.53"
"18,144.00","18,191.99",606.86,"1,255.53"
"18,192.00","18,207.99",605.86,"1,254.53"
"18,208.00","18,239.99",604.86,"1,253.53"
"18,240.00","18,287.99",603.86,"1,252.53"
"18,288.00","18,303.99",602.86,"1,251.53"
"18,304.00","18,335.99",601.86,"1,250.53"
"18,336.00","18,383.99",600.86,"1,249.53"
"18,384.00","18,399.99",599.86,"1,248.53"
"18,400.00","18,431.99",598.86,"1,247.53"
"18,432.00","18,479.99",597.86,"1,246.53"
"18,480.00","18,495.99",596.86,"1,245.53"
"18,496.00","18,527.99",596.79,"1,245.46"
"18,528.00","18,575.99",595.79,"1,244.46"
"18,576.00","18,623.99",594.79,"1,243.46"
"18,624.00","18,671.99",593.79,"1,242.46"
"18,672.00","18,719.99",592.79,"1,241.46"
"18,720.00","18,767.99",591.79,"1,240.46"
"18,768.00","18,815.99",590.79,"1,239.46"
"18,816.00","18,863.99",589.79,"1,238.46"
"18,864.00","18,911.99",588.79,"1,237.46"
"18,912.00","18,959.99",587.79,"1,236.46"
"18,960.00","19,007.99",586.79,"1,235.46"
"19,008.00","19,055.99",585.79,"1,234.46"
"19,056.00","19,103.99",584.79,"1,233.46"
"19,104.00","19,151.99",583.79,"1,232.46"
"19,152.00","19,199.99",582.79,"1,231.46"
"19,200.00","19,247.99",581.79,"1,230.46"
"19,248.00","19,295.99",580.79,"1,229.46"
"19,296.00","19,343.99",579.79,"1,228.46"
"19,344.00","19,391.99",578.79,"1,227.46"
"19,392.00","19,439.99",577.79,"1,226.46"
"19,440.00","19,487.99",576.79,"1,225.46"
"19,488.00","19,535.99",575.79,"1,224.46"
"19,536.00","19,583.99",574.79,"1,223.46"
"19,584.00","19,631.99",573.79,"1,222.46"
"19,632.00","19,679.99",572.79,"1,221.46"
"19,680.00","19,727.99",571.79,"1,220.46"
"19,728.00","19,775.99",570.79,"1,219.46"
"19,776.00","19,823.99",569.79,"1,218.46"
"19,824.00","19,871.99",568.79,"1,217.46"
"19,872.00","19,919.99",567.79,"1,216.46"
"19,920.00","19,967.99",566.79,"1,215.46"
"19,968.00","20,015.99",565.79,"1,214.46"
"20,016.00","20,063.99",564.79,"1,213.46"
"20,064.00","20,111.99",563.79,"1,212.46"
"20,112.00","20,159.99",562.79,"1,211.46"
"20,160.00","20,207.99",561.79,"1,210.46"
"20,208.00","20,255.99",560.79,"1,209.46"
"20,256.00","20,303.99",559.79,"1,208.46"
"20,304.00","20,351.99",558.79,"1,207.46"
"20,352.00","20,399.99",557.79,"1,206.46"
"20,400.00","20,447.99",556.79,"1,205.46"
"20,448.00","20,495.99",555.79,"1,204.46"
"20,496.00","20,543.99",554.79,"1,203.46"
"20,544.00","20,591.99",553.79,"1,202.46"
"20,592.00","20,639.99",552.79,"1,201.46"
"20,640.00","20,687.99",551.79,"1,200.46"
"20,688.00","20,735.99",550.79,"1,199.46"
"20,736.00","20,783.99",549.79,"1,198.46"
"20,784.00","20,831.99",548.79,"1,197.46"
"20,832.00","20,879.99",547.79,"1,196.46"
"20,880.00","20,927.99",546.79,"1,195.46"
"20,928.00","20,975.99",545.79,"1,194.46"
"20,976.00","21,023.99",544.79,"1,193.46"
"21,024.00","21,071.99",543.79,"1,192.46"
"21,072.00","21,119.99",542.79,"1,191.46"
"21,120.00","21,167.99",541.79,"1,190.46"
"21,168.00","21,215.99",540.79,"1,189.46"
"21,216.00","21,263.99",539.79,"1,188.46"
"21,264.00","21,311.99",538.79,"1,187.46"
"21,312.00","21,359.99",537.79,"1,186.46"
"21,360.00","21,407.99",536.79,"1,185.46"
"21,408.00","21,455.99",535.79,"1,184.46"
"21,456.00","21,503.99",534.79,"1,183.46"
"21,504.00","21,551.99",533.79,"1,182.46"
"21,552.00","21,599.99",532.79,"1,181.46"
"21,600.00","21,647.99",531.79,"1,180.46"
"21,648.00","21,695.99",530.79,"1,179.46"
"21,696.00","21,743.99",529.79,"1,178.46"
"21,744.00","21,791.99",528.79,"1,177.46"
"21,792.00","21,839.99",527.79,"1,176.46"
"21,840.00","21,887.99",526.79,"1,175.46"
"21,888.00","21,935.99",525.79,"1,174.46"
"21,936.00","21,983.99",524.79,"1,173.46"
"21,984.00","22,031.99",523.79,"1,172.46"
"22,032.00","22,079.99",522.79,"1,171.46"
"22,080.00","22,127.99",521.79,"1,170.46"
"22,128.00","22,175.99",520.79,"1,169.46"
"22,176.00","22,223.99",519.79,"1,168.46"
"22,224.00","22,271.99",518.79,"1,167.46"
"22,272.00","22,319.99",517.79,"1,166.46"
"22,320.00","22,367.99",516.79,"1,165.46"
"22,368.00","22,415.99",515.79,"1,164.46"
"22,416.00","22,463.99",514.79,"1,163.46"
"22,464.00","22,511.99",513.79,"1,162.46"
"22,512.00","22,559.99",512.79,"1,161.46"
"22,560.00","22,607.99",511.79,"1,160.46"
"22,608.00","22,655.99",510.79,"1,159.46"
"22,656.00","22,703.99",509.79,"1,158.46"
"22,704.00","22,751.99",508.79,"1,157.46"
