Amount Effective from April to June 2019/Montant en vigueur en avril à juin  2019,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) À,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"3,936.00","3,959.99",694.32,"1,295.77"
"3,960.00","3,967.99",693.32,"1,294.77"
"3,968.00","3,983.99",692.32,"1,293.77"
"3,984.00","4,007.99",691.32,"1,292.77"
"4,008.00","4,015.99",690.32,"1,291.77"
"4,016.00","4,031.99",689.32,"1,290.77"
"4,032.00","4,055.99",688.32,"1,289.77"
"4,056.00","4,063.99",687.32,"1,288.77"
"4,064.00","4,079.99",686.32,"1,287.77"
"4,080.00","4,103.99",685.32,"1,286.77"
"4,104.00","4,111.99",684.32,"1,285.77"
"4,112.00","4,127.99",683.32,"1,284.77"
"4,128.00","4,151.99",682.32,"1,283.77"
"4,152.00","4,159.99",681.32,"1,282.77"
"4,160.00","4,175.99",680.32,"1,281.77"
"4,176.00","4,199.99",679.32,"1,280.77"
"4,200.00","4,207.99",678.32,"1,279.77"
"4,208.00","4,223.99",677.32,"1,278.77"
"4,224.00","4,247.99",676.32,"1,277.77"
"4,248.00","4,255.99",675.32,"1,276.77"
"4,256.00","4,271.99",674.32,"1,275.77"
"4,272.00","4,295.99",673.32,"1,274.77"
"4,296.00","4,303.99",672.32,"1,273.77"
"4,304.00","4,319.99",671.32,"1,272.77"
"4,320.00","4,343.99",670.32,"1,271.77"
"4,344.00","4,351.99",669.32,"1,270.77"
"4,352.00","4,367.99",668.32,"1,269.77"
"4,368.00","4,391.99",667.32,"1,268.77"
"4,392.00","4,399.99",666.32,"1,267.77"
"4,400.00","4,415.99",665.32,"1,266.77"
"4,416.00","4,439.99",664.32,"1,265.77"
"4,440.00","4,447.99",663.32,"1,264.77"
"4,448.00","4,463.99",662.32,"1,263.77"
"4,464.00","4,487.99",661.32,"1,262.77"
"4,488.00","4,495.99",660.32,"1,261.77"
"4,496.00","4,511.99",659.32,"1,260.77"
"4,512.00","4,535.99",658.32,"1,259.77"
"4,536.00","4,543.99",657.32,"1,258.77"
"4,544.00","4,559.99",656.32,"1,257.77"
"4,560.00","4,583.99",655.32,"1,256.77"
"4,584.00","4,591.99",654.32,"1,255.77"
"4,592.00","4,607.99",653.32,"1,254.77"
"4,608.00","4,631.99",652.32,"1,253.77"
"4,632.00","4,639.99",651.32,"1,252.77"
"4,640.00","4,655.99",650.32,"1,251.77"
"4,656.00","4,679.99",649.32,"1,250.77"
"4,680.00","4,687.99",648.32,"1,249.77"
"4,688.00","4,703.99",647.32,"1,248.77"
"4,704.00","4,727.99",646.32,"1,247.77"
"4,728.00","4,735.99",645.32,"1,246.77"
"4,736.00","4,751.99",644.32,"1,245.77"
"4,752.00","4,775.99",643.32,"1,244.77"
"4,776.00","4,783.99",642.32,"1,243.77"
"4,784.00","4,799.99",641.32,"1,242.77"
"4,800.00","4,823.99",640.32,"1,241.77"
"4,824.00","4,831.99",639.32,"1,240.77"
"4,832.00","4,847.99",638.32,"1,239.77"
"4,848.00","4,871.99",637.32,"1,238.77"
"4,872.00","4,879.99",636.32,"1,237.77"
"4,880.00","4,895.99",635.32,"1,236.77"
"4,896.00","4,919.99",634.32,"1,235.77"
"4,920.00","4,927.99",633.32,"1,234.77"
"4,928.00","4,943.99",632.32,"1,233.77"
"4,944.00","4,967.99",631.32,"1,232.77"
"4,968.00","4,975.99",630.32,"1,231.77"
"4,976.00","4,991.99",629.32,"1,230.77"
"4,992.00","5,015.99",628.32,"1,229.77"
"5,016.00","5,023.99",627.32,"1,228.77"
"5,024.00","5,039.99",626.32,"1,227.77"
"5,040.00","5,063.99",625.32,"1,226.77"
"5,064.00","5,071.99",624.32,"1,225.77"
"5,072.00","5,087.99",623.32,"1,224.77"
"5,088.00","5,111.99",622.32,"1,223.77"
"5,112.00","5,119.99",621.32,"1,222.77"
"5,120.00","5,135.99",620.32,"1,221.77"
"5,136.00","5,159.99",619.32,"1,220.77"
"5,160.00","5,167.99",618.32,"1,219.77"
"5,168.00","5,183.99",617.32,"1,218.77"
"5,184.00","5,207.99",616.32,"1,217.77"
"5,208.00","5,215.99",615.32,"1,216.77"
"5,216.00","5,231.99",614.32,"1,215.77"
"5,232.00","5,255.99",613.32,"1,214.77"
"5,256.00","5,263.99",612.32,"1,213.77"
"5,264.00","5,279.99",611.32,"1,212.77"
"5,280.00","5,303.99",610.32,"1,211.77"
"5,304.00","5,311.99",609.32,"1,210.77"
"5,312.00","5,327.99",608.32,"1,209.77"
"5,328.00","5,351.99",607.32,"1,208.77"
"5,352.00","5,359.99",606.32,"1,207.77"
"5,360.00","5,375.99",605.32,"1,206.77"
"5,376.00","5,399.99",604.32,"1,205.77"
"5,400.00","5,407.99",603.32,"1,204.77"
"5,408.00","5,423.99",602.32,"1,203.77"
"5,424.00","5,447.99",601.32,"1,202.77"
"5,448.00","5,455.99",600.32,"1,201.77"
"5,456.00","5,471.99",599.32,"1,200.77"
"5,472.00","5,495.99",598.32,"1,199.77"
"5,496.00","5,503.99",597.32,"1,198.77"
"5,504.00","5,519.99",596.32,"1,197.77"
"5,520.00","5,543.99",595.32,"1,196.77"
"5,544.00","5,551.99",594.32,"1,195.77"
"5,552.00","5,567.99",593.32,"1,194.77"
"5,568.00","5,591.99",592.32,"1,193.77"
"5,592.00","5,599.99",591.32,"1,192.77"
"5,600.00","5,615.99",590.32,"1,191.77"
"5,616.00","5,639.99",589.32,"1,190.77"
"5,640.00","5,647.99",588.32,"1,189.77"
"5,648.00","5,663.99",587.32,"1,188.77"
"5,664.00","5,687.99",586.32,"1,187.77"
"5,688.00","5,695.99",585.32,"1,186.77"
"5,696.00","5,711.99",584.32,"1,185.77"
"5,712.00","5,735.99",583.32,"1,184.77"
"5,736.00","5,743.99",582.32,"1,183.77"
"5,744.00","5,759.99",581.32,"1,182.77"
"5,760.00","5,783.99",580.32,"1,181.77"
"5,784.00","5,791.99",579.32,"1,180.77"
"5,792.00","5,807.99",578.32,"1,179.77"
"5,808.00","5,831.99",577.32,"1,178.77"
"5,832.00","5,839.99",576.32,"1,177.77"
"5,840.00","5,855.99",575.32,"1,176.77"
"5,856.00","5,879.99",574.32,"1,175.77"
"5,880.00","5,887.99",573.32,"1,174.77"
"5,888.00","5,903.99",572.32,"1,173.77"
"5,904.00","5,927.99",571.32,"1,172.77"
"5,928.00","5,935.99",570.32,"1,171.77"
"5,936.00","5,951.99",569.32,"1,170.77"
"5,952.00","5,975.99",568.32,"1,169.77"
"5,976.00","5,983.99",567.32,"1,168.77"
"5,984.00","5,999.99",566.32,"1,167.77"
"6,000.00","6,023.99",565.32,"1,166.77"
"6,024.00","6,031.99",564.32,"1,165.77"
"6,032.00","6,047.99",563.32,"1,164.77"
"6,048.00","6,071.99",562.32,"1,163.77"
"6,072.00","6,079.99",561.32,"1,162.77"
"6,080.00","6,095.99",560.32,"1,161.77"
"6,096.00","6,119.99",559.32,"1,160.77"
"6,120.00","6,127.99",558.32,"1,159.77"
"6,128.00","6,143.99",557.32,"1,158.77"
"6,144.00","6,167.99",556.32,"1,157.77"
"6,168.00","6,175.99",555.32,"1,156.77"
"6,176.00","6,191.99",554.32,"1,155.77"
"6,192.00","6,215.99",553.32,"1,154.77"
"6,216.00","6,223.99",552.32,"1,153.77"
"6,224.00","6,239.99",551.32,"1,152.77"
"6,240.00","6,263.99",550.32,"1,151.77"
"6,264.00","6,271.99",549.32,"1,150.77"
"6,272.00","6,287.99",548.32,"1,149.77"
"6,288.00","6,311.99",547.32,"1,148.77"
"6,312.00","6,319.99",546.32,"1,147.77"
"6,320.00","6,335.99",545.32,"1,146.77"
"6,336.00","6,359.99",544.32,"1,145.77"
"6,360.00","6,367.99",543.32,"1,144.77"
"6,368.00","6,383.99",542.32,"1,143.77"
"6,384.00","6,407.99",541.32,"1,142.77"
"6,408.00","6,415.99",540.32,"1,141.77"
"6,416.00","6,431.99",539.32,"1,140.77"
"6,432.00","6,455.99",538.32,"1,139.77"
"6,456.00","6,463.99",537.32,"1,138.77"
"6,464.00","6,479.99",536.32,"1,137.77"
"6,480.00","6,503.99",535.32,"1,136.77"
"6,504.00","6,511.99",534.32,"1,135.77"
"6,512.00","6,527.99",533.32,"1,134.77"
"6,528.00","6,551.99",532.32,"1,133.77"
"6,552.00","6,559.99",531.32,"1,132.77"
"6,560.00","6,575.99",530.32,"1,131.77"
"6,576.00","6,599.99",529.32,"1,130.77"
"6,600.00","6,607.99",528.32,"1,129.77"
"6,608.00","6,623.99",527.32,"1,128.77"
"6,624.00","6,647.99",526.32,"1,127.77"
"6,648.00","6,655.99",525.32,"1,126.77"
"6,656.00","6,671.99",524.32,"1,125.77"
"6,672.00","6,695.99",523.32,"1,124.77"
"6,696.00","6,703.99",522.32,"1,123.77"
"6,704.00","6,719.99",521.32,"1,122.77"
"6,720.00","6,743.99",520.32,"1,121.77"
"6,744.00","6,751.99",519.32,"1,120.77"
"6,752.00","6,767.99",518.32,"1,119.77"
"6,768.00","6,791.99",517.32,"1,118.77"
"6,792.00","6,799.99",516.32,"1,117.77"
"6,800.00","6,815.99",515.32,"1,116.77"
"6,816.00","6,839.99",514.32,"1,115.77"
"6,840.00","6,847.99",513.32,"1,114.77"
"6,848.00","6,863.99",512.32,"1,113.77"
"6,864.00","6,887.99",511.32,"1,112.77"
"6,888.00","6,895.99",510.32,"1,111.77"
"6,896.00","6,911.99",509.32,"1,110.77"
"6,912.00","6,935.99",508.32,"1,109.77"
"6,936.00","6,943.99",507.32,"1,108.77"
"6,944.00","6,959.99",506.32,"1,107.77"
"6,960.00","6,983.99",505.32,"1,106.77"
"6,984.00","6,991.99",504.32,"1,105.77"
"6,992.00","7,007.99",503.32,"1,104.77"
"7,008.00","7,031.99",502.32,"1,103.77"
"7,032.00","7,039.99",501.32,"1,102.77"
"7,040.00","7,055.99",500.32,"1,101.77"
"7,056.00","7,079.99",499.32,"1,100.77"
"7,080.00","7,087.99",498.32,"1,099.77"
"7,088.00","7,103.99",497.32,"1,098.77"
"7,104.00","7,127.99",496.32,"1,097.77"
"7,128.00","7,135.99",495.32,"1,096.77"
"7,136.00","7,151.99",494.32,"1,095.77"
"7,152.00","7,175.99",493.32,"1,094.77"
"7,176.00","7,183.99",492.32,"1,093.77"
"7,184.00","7,199.99",491.32,"1,092.77"
"7,200.00","7,223.99",490.32,"1,091.77"
"7,224.00","7,231.99",489.32,"1,090.77"
"7,232.00","7,247.99",488.32,"1,089.77"
"7,248.00","7,271.99",487.32,"1,088.77"
"7,272.00","7,279.99",486.32,"1,087.77"
"7,280.00","7,295.99",485.32,"1,086.77"
"7,296.00","7,319.99",484.32,"1,085.77"
"7,320.00","7,327.99",483.32,"1,084.77"
"7,328.00","7,343.99",482.32,"1,083.77"
"7,344.00","7,367.99",481.32,"1,082.77"
"7,368.00","7,375.99",480.32,"1,081.77"
"7,376.00","7,391.99",479.32,"1,080.77"
"7,392.00","7,415.99",478.32,"1,079.77"
"7,416.00","7,423.99",477.32,"1,078.77"
"7,424.00","7,439.99",476.32,"1,077.77"
"7,440.00","7,463.99",475.32,"1,076.77"
"7,464.00","7,471.99",474.32,"1,075.77"
"7,472.00","7,487.99",473.32,"1,074.77"
"7,488.00","7,511.99",472.32,"1,073.77"
"7,512.00","7,519.99",471.32,"1,072.77"
"7,520.00","7,535.99",470.32,"1,071.77"
"7,536.00","7,559.99",469.32,"1,070.77"
"7,560.00","7,567.99",468.32,"1,069.77"
"7,568.00","7,583.99",467.32,"1,068.77"
"7,584.00","7,607.99",466.32,"1,067.77"
"7,608.00","7,615.99",465.32,"1,066.77"
"7,616.00","7,631.99",464.32,"1,065.77"
"7,632.00","7,655.99",463.32,"1,064.77"
"7,656.00","7,663.99",462.32,"1,063.77"
"7,664.00","7,679.99",461.32,"1,062.77"
"7,680.00","7,703.99",460.32,"1,061.77"
